Project ID,Project Name,Owner,Address,City/State,Latitude,Longitude,Total GLA,Year Built,Lot Size Acres,Parking Count,Parking Ratio / 1000 SF,Tenant Count,Tenant Count 0-3k,Tenant Count 3k-10k,Tenant Count 10k+,Grocery Tenant,Grocery SF,Grocery % GLA,Food,Food %,Hard Goods,Hard Goods %,Service,Service %,Soft Goods,Soft Goods %,Other,Other %,Vacancy,Vacancy %,Source Demographic Radius,5-Mile Population,5-Mile Income,3-Mile Population,3-Mile Income,ADT,Annual Visits,PDF File,PDF Path,Site Plan Page,Site Plan Image Path
BRX041,West Center,Brixmor,"198-250 Route 25A | East Setauket, NY 11733","East Setauket, NY",40.9375,-73.1093,42594,,,,,11,10,1,1,,0,0,3600,8.451894633046908,0,0,13509,31.715734610508523,1350,3.1694604873925907,21661,50.85458045734141,1600,3.756397614687515,,,,,,,,West Center - Property Brochure.pdf,pdfs/West Center - Property Brochure.pdf,2,site_plan_images/brx041-west-center-site-plan.png
BRX042,Whitemarsh Shopping Center,Brixmor,"10 E Ridge Pike | Conshohocken, PA 19428","Conshohocken, PA",40.0934,-75.2853,76391,,,,,9,7,4,0,,0,0,9786,12.810409603225512,0,0,11503,15.05805658,0,0,0,0,5100,6.6761791310494685,,,,,,,,Whitemarsh Shopping Center - Property Brochure.pdf,pdfs/Whitemarsh Shopping Center - Property Brochure.pdf,2,site_plan_images/brx042-whitemarsh-shopping-center-site-plan.png
TJ_BURLINGTON,Petco / Trader Joe’s center,Unknown,"51 Middlesex Turnpike, Burlington, MA","Burlington, MA",42.4737937,-71.2116342,73906,1964,6.86,231,3.125591968175791,3,0,0,3,Trader Joe’s,15267,20.65732146239818,15267,20.65732146239818,58639,79.34267853760181,0,0,0,0,0,0,0,0,,,,,,,,,,,site_plan_images/TJ_Petco.png
TJ_ACTON,Brookside Shops,Crosspoint Associates,"145 Great Road, Acton, MA 01720","Acton, MA",42.4838745,-71.4148194,75529,2001,10.34,310,4.104383746640363,7,0,0,0,Trader Joe’s,,,,,,,,,,,,,,,5 Mile,70599,138175,,,,,,,,site_plan_images/TJ_Acton.png
TJ_NEWTON,Newton Nexus,Crosspoint Associates,"165 Needham St, Newton, MA 02464 US","Newton, MA",42.3121235,-71.2137288,83655,1955,7.63,515,6.156236925467694,16,0,0,0,Trader Joe’s,,,,,,,,,,,,,,,5 Mile,430514,207671,,,,,,,,site_plan_images/TJ_Newton.png
TJ_CAMBRIDGE_FRESH_POND,Alewife Brook Parkway Shopping Center,Linear Retail Properties,"211 Alewife Brook Pkwy, Cambridge, MA 02138","Cambridge, MA",42.3899301,-71.1433772,47000,2009,1.89,225,4.787234042553192,6,0,0,1,Trader Joe’s,14000,29.78723404255319,14000,29.78723404255319,0,0,0,0,0,0,0,0,0,0,5 Mile,,169576,,,21998,,,,,site_plan_images/TJ_Cambridge_Fresh_Pond.png
TJ_FRAMINGHAM,Staples Plaza,The Hamilton Company,"659 Worcester Rd, Framingham, MA 01701","Framingham, MA",42.2990907,-71.4247688,38300,1996,7.5,223,5.822454308093995,4,1,1,2,Trader Joe’s,13024,34.00522193211488,17443,45.54308093994778,19857,51.84595300261097,1000,2.6109661,0,0,0,0,0,0,5 Mile,145502,103909,,,,,,,,site_plan_images/TJ_Framingham.png
TJ_HYANNIS,Christmas Tree Promenade / 655 Iyannough Rd Plaza,CTS FIDUCIARY LLC TR (c/o Turtle Rock LLC),"655 Iyannough Road Rt 132, Unit 4-A, Hyannis, MA 02601","Hyannis, MA",41.666074,-70.291643,72480,1989,9.15,,,5,2,0,3,Trader Joe’s,12845,17.7221302,14201,19.59299116997792,58279,80.40700883002208,0,0,0,0,0,0,0,0,5 Mile,48889,92215,,,,,,,,site_plan_images/TJ_Hyannis.png
TJ_MILFORD,Granite Heights Marketplace,Unknown,"230 Fortune Blvd, Milford, MA 01757","Milford, MA",42.1607109,-71.5018572,97095,2017,16.4,,,4,0,1,3,Trader Joe’s,21903,22.5583192,28257,29.10242545960142,28000,28.83773623770534,0,0,0,0,0,0,40838,42.05983830269323,,,,,,,,,,,site_plan_images/TJ_Milford.png
TJ_SOMERVILLE,Assembly Square,federalrealty,"145 Middlesex Ave, Somerville, MA 02145 US","Somerville, MA",42.3954311,-71.0829423,319000,1975,21,1106,3.4670846394984327,13,2,2,9,Trader Joe's,17886,5.6068966,20019,6.2755486,290765,91.1489028,8514,2.6689655,0,0,0,0,0,0,5 Mile,960777,113994,,,,,,,,site_plan_images/TJ_Somerville.png
