Project ID,Project Name,Owner,City/State,Unit,Tenant,Tenant SF,Tenant Category,Original Category,Main Mix Group,Size Bucket,Is Grocery,Is Available,Is Anchor by SF,Explicit Anchor,0-10K Store,Manual Check Notes,TJ Address,PDF File,PDF Path,Site Plan Image Path
120780,West Alex,Kimco,,5,Silver Diner,6587,Restaurant,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,120780-west-alex-marketing-package.pdf,,
120780,West Alex,Kimco,,8,Sushi Jin,2278,Restaurant,,Food,0-3k,FALSE,FALSE,FALSE,,,,,120780-west-alex-marketing-package.pdf,,
120780,West Alex,Kimco,,9,E60 Fitness,3200,Fitness,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,120780-west-alex-marketing-package.pdf,,
120780,West Alex,Kimco,,10,World Hapmudo,2095,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,120780-west-alex-marketing-package.pdf,,
120780,West Alex,Kimco,,11,Guidepost Montessori,7165,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,120780-west-alex-marketing-package.pdf,,
120780,West Alex,Kimco,,12,Wow Orthodontics,1351,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120780-west-alex-marketing-package.pdf,,
120780,West Alex,Kimco,,13,Harris Teeter,61816,Grocery,,Food,10k+,TRUE,FALSE,TRUE,,,,,120780-west-alex-marketing-package.pdf,,
120780,West Alex,Kimco,,14,Salon Lofts,5347,Beauty,,Soft Goods,3k-10k,FALSE,FALSE,FALSE,,,,,120780-west-alex-marketing-package.pdf,,
120780,West Alex,Kimco,,15,Guidepost Montessori,12299,Other,,Other,10k+,FALSE,FALSE,TRUE,,,,,120780-west-alex-marketing-package.pdf,,
120780,West Alex,Kimco,,16,Virginia Hospital Center,12299,Other,,Other,10k+,FALSE,FALSE,TRUE,,,,,120780-west-alex-marketing-package.pdf,,
120630,Publix at Princeton,Kimco,,1,Wellstar,5600,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,,
120630,Publix at Princeton,Kimco,,2,Jersey Mike's Subs,1207,Restaurant,,Food,0-3k,FALSE,FALSE,FALSE,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,,
120630,Publix at Princeton,Kimco,,3,Touchdown Wings,1600,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,,
120630,Publix at Princeton,Kimco,,4,"Pampered Smiles East, LLC",3200,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,120630-publix-at-princeton-lakes-marketing-package.pdf,,
